post_id,title,category,score,num_comments,author,collected_at
47616361,Google releases Gemma 4 open models,technology,1806,473,jeffmcjunkin,2026-04-08 09:22:56
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1234,674,StanAngeloff,2026-04-08 09:22:56
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1091,829,firloop,2026-04-08 09:22:56
47679121,Project Glasswing: Securing critical software for the AI era,technology,994,438,Ryan5453,2026-04-08 09:22:56
47640728,Show HN: A game where you build a GPU,technology,951,186,Jaso1024,2026-04-08 09:22:56
47648828,"Eight years of wanting, three months of building with AI",technology,938,297,brilee,2026-04-08 09:22:56
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,884,131,armanified,2026-04-08 09:22:56
47609564,Steam on Linux Use Skyrocketed Above 5% in March,technology,784,367,hkmaxpro,2026-04-08 09:22:56
47624645,Show HN: Apfel – The free AI already on your Mac,technology,733,155,franze,2026-04-08 09:22:56
47637757,Embarrassingly simple self-distillation improves code generation,technology,650,199,Anon84,2026-04-08 09:22:56
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,569,112,AbuAssar,2026-04-08 09:22:56
47618189,Tailscale's new macOS home,technology,564,310,tosh,2026-04-08 09:22:56
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,524,240,naves,2026-04-08 09:22:56
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,496,363,mooreds,2026-04-08 09:22:56
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,447,282,thisislife2,2026-04-08 09:22:56
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,425,268,eichin,2026-04-08 09:22:56
47637377,LÖVE: 2D Game Framework for Lua,technology,409,214,cl3misch,2026-04-08 09:22:56
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,408,148,denssumesh,2026-04-08 09:22:56
47644864,"AWS engineer reports PostgreSQL perf halved by Linux 7.0, fix may not be easy",technology,403,158,crcastle,2026-04-08 09:22:56
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,401,99,vbtechguy,2026-04-08 09:22:56
47649117,Someone at BrowserStack is leaking users' email addresses,technology,386,103,m_km,2026-04-08 09:22:56
47609694,Email obfuscation: What works in 2026?,technology,370,105,jaden,2026-04-08 09:22:56
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,365,206,sedev,2026-04-08 09:22:56
47652322,Music for Programming,technology,345,171,merusame,2026-04-08 09:22:56
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,321,150,rglullis,2026-04-08 09:22:56
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,964,614,zaikunzhang,2026-04-08 09:22:56
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,592,209,pretext,2026-04-08 09:22:56
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,452,173,zixuanlimit,2026-04-08 09:22:56
47639976,German men 18-45 need military permit for extended stays abroad,worldnews,399,720,L_226,2026-04-08 09:22:56
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,316,155,Bender,2026-04-08 09:22:56
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,297,85,player_piano,2026-04-08 09:22:56
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,297,148,Growtika,2026-04-08 09:22:56
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-08 09:22:56
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-08 09:22:56
47651626,Reaffirming our commitment to child safety in the face of EuropeanUnion inaction,worldnews,71,88,upofadown,2026-04-08 09:22:56
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-08 09:22:56
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,52,17,zdw,2026-04-08 09:22:56
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-08 09:22:56
47671498,When War Crimes Rhetoric Becomes Battlefield Reality,worldnews,40,41,dogscatstrees,2026-04-08 09:22:56
47680124,IPv6 is the only way forward,worldnews,40,111,quaintdev,2026-04-08 09:22:56
47683613,ICE acknowledges it is using powerful spyware,worldnews,29,3,dnemmers,2026-04-08 09:22:56
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-08 09:22:56
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,26,10,brene,2026-04-08 09:22:56
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,18,10,1vuio0pswjnm7,2026-04-08 09:22:56
47668127,Bitwarden Is Down,worldnews,16,3,zhan_eg,2026-04-08 09:22:56
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,14,10,toomuchtodo,2026-04-08 09:22:56
47610590,The East India Company in Japan,worldnews,14,2,Thevet,2026-04-08 09:22:56
47671930,A New Oil Shock Accelerates a Return to Nuclear Power,worldnews,13,12,rustoo,2026-04-08 09:22:56
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,12,1,manarth,2026-04-08 09:22:56
